Nama Rumah,Harga,Cicilan,Lokasi,Keterangan
Metland Cileungsi Cluster Ayana,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 72 m²LB 34 m²KM 1KT 2
Bukit Pesona Indah,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 72 m²LB 48 m²KM 2KT 2
Bukit Pelangi Residence,Rp 620.000.000,Cicilan 5.9 Juta/bulan,"Cipayung, Kota depok",LT 60 m²LB 45 m²KM 1KT 2
Villa Indah Pangrango,Rp 640.000.000,Cicilan 6.1 Juta/bulan,"Cibinong, Kabupaten bogor",LT 72 m²LB 41 m²KM 1KT 2
Perumahan Permata Bintang,Rp 640.000.000,Cicilan 6.1 Juta/bulan,"Cibinong, Kabupaten bogor",LT 60 m²LB 120 m²KM 2KT 3
Permata Depok Regency,Rp 650.000.000,Cicilan 6.2 Juta/bulan,"Cipayung, Kota depok",LT 69 m²LB 50 m²KM 1KT 2
Bogor Raya Permai,Rp 650.000.000,Cicilan 6.2 Juta/bulan,"Bogor barat, Kota bogor",LT 75 m²LB 40 m²KM 1KT 2
Mabruk Jaya Residence Bogor,Rp 650.000.000,Cicilan 6.2 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 69 m²LB 45 m²KM 1KT 2
Perumahan Bumi Anggrek Bekasi,Rp 660.000.000,Cicilan 6.3 Juta/bulan,"Tambun utara, Kabupaten bekasi",LT 60 m²LB 45 m²KM 1KT 2
Bekasi Timur Regency,Rp 670.000.000,Cicilan 6.4 Juta/bulan,"Mustikajaya, Kota bekasi",LT 66 m²LB 45 m²KM 1KT 3
Bukit Mekar Wangi Bogor,Rp 670.000.000,Cicilan 6.4 Juta/bulan,"Tanah sareal, Kota bogor",LT 90 m²LB 60 m²KM 1KT 2
Perumahan Bukit Mekar Wangi Cluster Alamanda,Rp 670.000.000,Cicilan 6.4 Juta/bulan,"Tanah sareal, Kota bogor",LT 72 m²LB 36 m²KM 1KT 2
Bekasi Timur Regency,Rp 670.000.000,Cicilan 6.4 Juta/bulan,"Setu, Kabupaten bekasi",LT 72 m²LB 36 m²KM 1KT 2
Perumahan Savana Hijau,Rp 670.000.000,Cicilan 6.4 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 60 m²LB 60 m²KM 1KT 2
Perumahan Sawangan Hill 1,Rp 670.000.000,Cicilan 6.4 Juta/bulan,"Bojongsari, Kota depok",LT 84 m²LB 55 m²KM 1KT 2
Cluster Gracia,Rp 680.000.000,Cicilan 6.5 Juta/bulan,"Tapos, Kota depok",LT 71 m²LB 36 m²KM 1KT 2
Mabruk Jaya Residence Bogor,Rp 680.000.000,Cicilan 6.5 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 72 m²LB 45 m²KM 1KT 2
Sukahati Residence,Rp 680.000.000,Cicilan 6.5 Juta/bulan,"Cibinong, Kabupaten bogor",LT 90 m²LB 90 m²KM 1KT 2
Cibinong Green Park,Rp 690.000.000,Cicilan 6.6 Juta/bulan,"Cibinong, Kabupaten bogor",LT 88 m²LB 40 m²KM 1KT 2
Perumahan Citra Prima Serpong,Rp 690.000.000,Cicilan 6.6 Juta/bulan,"Setu, Kota tangerang selatan",LT 66 m²LB 45 m²KM 1KT 2
Villa Bogor Indah,Rp 690.000.000,Cicilan 6.6 Juta/bulan,"Bogor utara, Kota bogor",LT 78 m²LB 36 m²KM 1KT 2
Perumahan Casa De Royal Village,Rp 695.000.000,Cicilan 6.7 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 80 m²LB 42 m²KM 1KT 2
Nirwana Cipayung Griya Vitara Indah,Rp 700.000.000,Cicilan 6.7 Juta/bulan,"Cipayung, Kota depok",LT 80 m²LB 45 m²KM 1KT 2
Perumahan Dasana Indah,Rp 700.000.000,Cicilan 6.7 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 60 m²LB 60 m²KM 1KT 2
Bukit Cimanggu City Blok R8A,Rp 700.000.000,Cicilan 6.7 Juta/bulan,"Tanah sareal, Kota bogor",LT 90 m²LB 75 m²KM 2KT 2
Perumahan Bogor Raya Permai,Rp 710.000.000,Cicilan 6.8 Juta/bulan,"Bogor barat, Kota bogor",LT 72 m²LB 72 m²KM 1KT 2
D'Marco Residence Cluster Casablanca,Rp 710.000.000,Cicilan 6.8 Juta/bulan,"Cilodong, Kota depok",LT 75 m²LB 27 m²KM 1KT 2
Golden Park 3,Rp 720.000.000,Cicilan 6.9 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 50 m²LB 24 m²KM 1KT 1
Green Residence,Rp 720.000.000,Cicilan 6.9 Juta/bulan,"Bogor utara, Kota bogor",LT 72 m²LB 36 m²KM 1KT 2
Grand View Karawaci Cluster Fontana Vista,Rp 720.000.000,Cicilan 6.9 Juta/bulan,"Curug, Kabupaten tangerang",LT 72 m²LB 54 m²KM 1KT 2
Dramaga Cantik Residence,Rp 720.000.000,Cicilan 6.9 Juta/bulan,"Dramaga, Kabupaten bogor",LT 72 m²LB 28 m²KM 1KT 2
Komplek Griya Akbar,Rp 720.000.000,Cicilan 6.9 Juta/bulan,"Limo, Kota depok",LT 60 m²LB 40 m²KM 1KT 2
Cluster Batara Residence,Rp 720.000.000,Cicilan 6.9 Juta/bulan,"Mustikajaya, Kota bekasi",LT 72 m²LB 36 m²KM 1KT 2
Cluster Villa Jati Bekasi,Rp 730.000.000,Cicilan 7 Juta/bulan,"Jatisampurna, Kota bekasi",LT 60 m²LB 36 m²KM 1KT 2
Bekasi Timur Regency,Rp 740.000.000,Cicilan 7.1 Juta/bulan,"Mustikajaya, Kota bekasi",LT 72 m²LB 55 m²KM 1KT 3
Jalan Haji Atim Depok,Rp 740.000.000,Cicilan 7.1 Juta/bulan,"Cilodong, Kota depok",LT 80 m²LB 45 m²KM 1KT 2
Grand View Karawaci Cluster Fontana Vista,Rp 750.000.000,Cicilan 7.2 Juta/bulan,"Curug, Kabupaten tangerang",LT 72 m²LB 36 m²KM 1KT 2
Permata Cimanggis Cluster Topaz,Rp 750.000.000,Cicilan 7.2 Juta/bulan,"Tapos, Kota depok",LT 72 m²LB 36 m²KM 1KT 2
Perumahan Raden Cibinong 3,Rp 750.000.000,Cicilan 7.2 Juta/bulan,"Cibinong, Kabupaten bogor",LT 54 m²LB 48 m²KM 2KT 3
Bumi Cimanggis Indah 2,Rp 760.000.000,Cicilan 7.3 Juta/bulan,"Tapos, Kota depok",LT 60 m²LB 40 m²KM 1KT 2
Serpong Natura City - Acacia Drive,Rp 760.000.000,Cicilan 7.3 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 81 m²LB 45 m²KM 1KT 2
Bali Resort Bogor Cluster Tabanan,Rp 770.000.000,Cicilan 7.4 Juta/bulan,"Ranca bungur, Kabupaten bogor",LT 110 m²LB 38 m²KM 1KT 2
Nuansa Alam Cilebut Asri,Rp 770.000.000,Cicilan 7.4 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 87 m²LB 67 m²KM 1KT 2
Kirana Residence,Rp 770.000.000,Cicilan 7.4 Juta/bulan,"Ranca bungur, Kabupaten bogor",LT 80 m²LB 40 m²KM 1KT 2
Perumahan Taman Wisma Asri Bekasi,Rp 770.000.000,Cicilan 7.4 Juta/bulan,"Bekasi utara, Kota bekasi",LT 60 m²LB 42 m²KM 1KT 2
Cluster Graha Ciater Village,Rp 770.000.000,Cicilan 7.4 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 77 m²LB 80 m²KM 2KT 3
De Aruna Residence,Rp 790.000.000,Cicilan 7.6 Juta/bulan,"Bojongsari, Kota depok",LT 66 m²LB 77 m²KM 2KT 3
Perumahan Puri Arsana,Rp 800.000.000,Cicilan 7.7 Juta/bulan,"Bojongsari, Kota depok",LT 78 m²LB 54 m²KM 1KT 2
Perumahan Segara City Cluster Descada,Rp 800.000.000,Cicilan 7.7 Juta/bulan,"Tarumajaya, Kabupaten bekasi",LT 90 m²LB 60 m²KM 1KT 2
Jalan Serua Bulak Raya,Rp 800.000.000,Cicilan 7.7 Juta/bulan,"Bojongsari, Kota depok",LT 72 m²LB 60 m²KM 2KT 3
Perumahan Dasana Indah,Rp 810.000.000,Cicilan 7.8 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 60 m²LB 90 m²KM 2KT 1
Botanica Valley Serpong,Rp 810.000.000,Cicilan 7.8 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 72 m²LB 42 m²KM 1KT 2
Serpong Natura City Cluster Cattleya,Rp 819.500.000,Cicilan 7.9 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 72 m²LB 72 m²KM 1KT 2
Bukit Cimanggu City Cluster Taman Bunga Blok W8,Rp 820.000.000,Cicilan 7.9 Juta/bulan,"Tanah sareal, Kota bogor",LT 78 m²LB 98 m²KM 2KT 3
Panorama Residence,Rp 820.000.000,Cicilan 7.9 Juta/bulan,"Bojongsari, Kota depok",LT 78 m²LB 40 m²KM 1KT 2
Perumahan Tamansari Puribali Cluster Bedugul Depok,Rp 830.000.000,Cicilan 8 Juta/bulan,"Bojongsari, Kota depok",LT 72 m²LB 38 m²KM 1KT 2
Sanur Valley Cluster Lovina,Rp 830.000.000,Cicilan 8 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 107 m²LB 45 m²KM 1KT 2
Metland Transyogi Cluster Gandaria,Rp 840.000.000,Cicilan 8.1 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 84 m²LB 49 m²KM 1KT 2
Perumahan Pakuan Regency,Rp 840.000.000,Cicilan 8.1 Juta/bulan,"Bogor barat, Kota bogor",LT 105 m²LB 37 m²KM 1KT 2
Perumahan Bukit Rivaria Sawangan,Rp 840.000.000,Cicilan 8.1 Juta/bulan,"Sawangan, Kota depok",LT 105 m²LB 85 m²KM 1KT 2
Cilebut Residence 2,Rp 840.000.000,Cicilan 8.1 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 80 m²LB 45 m²KM 1KT 2
Perumahan Sawangan Hill,Rp 840.000.000,Cicilan 8.1 Juta/bulan,"Bojongsari, Kota depok",LT 90 m²LB 60 m²KM 1KT 2
Pondok Karadenan Asri 2,Rp 840.000.000,Cicilan 8.1 Juta/bulan,"Cibinong, Kabupaten bogor",LT 97 m²LB 70 m²KM 2KT 2
Grand View Karawaci Cluster Fontana Vista,Rp 850.000.000,Cicilan 8.2 Juta/bulan,"Curug, Kabupaten tangerang",LT 72 m²LB 50 m²KM 1KT 2
Paradise Serpong City Cluster Lightscape,Rp 850.000.000,Cicilan 8.2 Juta/bulan,"Setu, Kota tangerang selatan",LT 50 m²LB 32 m²KM 1KT 2
Perumahan Megasentul Komplek Alamanda,Rp 850.000.000,Cicilan 8.2 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 130 m²LB 72 m²KM 2KT 3
Griya Melati Mas,Rp 860.000.000,Cicilan 8.3 Juta/bulan,"Cilodong, Kota depok",LT 96 m²LB 80 m²KM 1KT 2
Serpong Garden 1 Cluster Green Harmony,Rp 860.000.000,Cicilan 8.3 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 72 m²LB 36 m²KM 1KT 2
Paradise Serpong City,Rp 860.000.000,Cicilan 8.3 Juta/bulan,"Setu, Kota tangerang selatan",LT 60 m²LB 36 m²KM 1KT 2
Taman Sukahati Permai,Rp 860.000.000,Cicilan 8.3 Juta/bulan,"Cibinong, Kabupaten bogor",LT 105 m²LB 45 m²KM 1KT 2
Royal Park Residence  Cluster Europe,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Mustikajaya, Kota bekasi",LT 90 m²LB 38 m²KM 1KT 2
Villa Bogor Indah 6,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 84 m²LB 40 m²KM 1KT 2
Serpong Park,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 72 m²LB 48 m²KM 1KT 2
Perumahan Ciomas Permai,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Ciomas, Kabupaten bogor",LT 120 m²LB 135 m²KM 1KT 3
Villa Ciomas Indah,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Ciomas, Kabupaten bogor",LT 72 m²LB 72 m²KM 1KT 2
Kiara Residence,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Bogor barat, Kota bogor",LT 92 m²LB 52 m²KM 2KT 2
Villa Moccara,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Ciomas, Kabupaten bogor",LT 100 m²LB 68 m²KM 2KT 2
Bukit Pelangi Residence,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Cipayung, Kota depok",LT 80 m²LB 65 m²KM 1KT 2
Banjaran Residence,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Tapos, Kota depok",LT 104 m²LB 72 m²KM 1KT 2
Perumahan Acropolis Karadenan,Rp 880.000.000,Cicilan 8.5 Juta/bulan,"Cibinong, Kabupaten bogor",LT 98 m²LB 90 m²KM 2KT 2
Perumahan Taman Bumyagara,Rp 880.000.000,Cicilan 8.5 Juta/bulan,"Mustikajaya, Kota bekasi",LT 96 m²LB 96 m²KM 1KT 2
Serpong Lagoon Cluster North Flamingo,Rp 880.000.000,Cicilan 8.5 Juta/bulan,"Setu, Kota tangerang selatan",LT 84 m²LB 43 m²KM 1KT 2
Perumahan Grand Bukit Dago Cluster Granada,Rp 880.000.000,Cicilan 8.5 Juta/bulan,"Setu, Kota tangerang selatan",LT 66 m²LB 50 m²KM 1KT 2
Perumahan Alam Parung,Rp 880.000.000,Cicilan 8.5 Juta/bulan,"Ciseeng, Kabupaten bogor",LT 150 m²LB 54 m²KM 2KT 2
Botanica Valley,Rp 890.000.000,Cicilan 8.6 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 104 m²LB 42 m²KM 1KT 2
Serpong Natura Cluster Cattleya,Rp 900.000.000,Cicilan 8.7 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 81 m²LB 51 m²KM 2KT 3
Qurnia Residence,Rp 900.000.000,Cicilan 8.7 Juta/bulan,"Parung, Kabupaten bogor",LT 84 m²LB 57 m²KM 2KT 2
The Maharassya Residence Bekasi,Rp 900.000.000,Cicilan 8.7 Juta/bulan,"Jatiasih, Kota bekasi",LT 72 m²LB 45 m²KM 1KT 2
Perumahan Bojong Depok Baru,Rp 900.000.000,Cicilan 8.7 Juta/bulan,"Cibinong, Kabupaten bogor",LT 72 m²LB 140 m²KM 2KT 4
Natura City Cluster Cattleya,Rp 900.000.000,Cicilan 8.7 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 84 m²LB 39 m²KM 1KT 2
Griya Suradita Indah,Rp 910.000.000,Cicilan 8.8 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 72 m²LB 144 m²KM 2KT 3
Cluster Tegal Asri,Rp 910.000.000,Cicilan 8.8 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 90 m²LB 130 m²KM 2KT 4
Bukit Cimanggu City Blok X3,Rp 910.000.000,Cicilan 8.8 Juta/bulan,"Tanah sareal, Kota bogor",LT 77 m²LB 45 m²KM 1KT 2
Perumahan Poris Indah,Rp 920.000.000,Cicilan 8.8 Juta/bulan,"Cipondoh, Kota tangerang",LT 60 m²LB 42 m²KM 1KT 2
Serpong Natura Cattleya II,Rp 920.000.000,Cicilan 8.8 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 81 m²LB 51 m²KM 2KT 3
Permata Cimanggis Cluster Kumala,Rp 920.000.000,Cicilan 8.8 Juta/bulan,"Tapos, Kota depok",LT 84 m²LB 70 m²KM 2KT 2
Cluster Harrys Residence,Rp 920.000.000,Cicilan 8.8 Juta/bulan,"Cibinong, Kabupaten bogor",LT 120 m²LB 138 m²KM 2KT 4
Serpong Garden Cluster Green Park View,Rp 920.000.000,Cicilan 8.8 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 72 m²LB 36 m²KM 1KT 2
Villa Bogor Indah 6,Rp 920.000.000,Cicilan 8.8 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 72 m²LB 36 m²KM 1KT 2
Perumahan Sasak Asri,Rp 920.000.000,Cicilan 8.8 Juta/bulan,"Cilodong, Kota depok",LT 96 m²LB 50 m²KM 1KT 2
Perumahan Winner Sapta Villa Cibinong,Rp 930.000.000,Cicilan 8.9 Juta/bulan,"Cibinong, Kabupaten bogor",LT 84 m²LB 54 m²KM 1KT 2
Salama Residence,Rp 940.000.000,Cicilan 9 Juta/bulan,"Cimanggis, Kota depok",LT 53 m²LB 67 m²KM 3KT 3
Perumahan Acropolis Karadenan,Rp 950.000.000,Cicilan 9.1 Juta/bulan,"Cibinong, Kabupaten bogor",LT 104 m²LB 75 m²KM 1KT 2
Cluster Puri Bambu Kuning,Rp 960.000.000,Cicilan 9.2 Juta/bulan,"Cipayung, Kota jakarta timur",LT 77 m²LB 65 m²KM 1KT 2
CRV Residence Bekasi,Rp 960.000.000,Cicilan 9.2 Juta/bulan,"Jatiasih, Kota bekasi",LT 90 m²LB 60 m²KM 1KT 2
Margo Residence 1,Rp 980.000.000,Cicilan 9.4 Juta/bulan,"Sukmajaya, Kota depok",LT 90 m²LB 45 m²KM 2KT 2
"Perumahan Taman Jasmine Mas, Bojongsari",Rp 980.000.000,Cicilan 9.4 Juta/bulan,"Bojongsari, Kota depok",LT 81 m²LB 81 m²KM 1KT 3
Perumahan Amarapura,Rp 988.000.000,Cicilan 9.5 Juta/bulan,"Setu, Kota tangerang selatan",LT 102 m²LB 42 m²KM 2KT 3
Perumahan Dukuh Zamrud,Rp 990.000.000,Cicilan 9.5 Juta/bulan,"Mustikajaya, Kota bekasi",LT 108 m²LB 80 m²KM 1KT 2
Grand Serpong Permai,Rp 1.010.000.000,Cicilan 9.7 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 72 m²LB 72 m²KM 1KT 2
Perumahan Reni Jaya,Rp 1.010.000.000,Cicilan 9.7 Juta/bulan,"Bojongsari, Kota depok",LT 160 m²LB 185 m²KM 2KT 3
Perumahan Taman Yasmin Sektor 6,Rp 1.010.000.000,Cicilan 9.7 Juta/bulan,"Bogor barat, Kota bogor",LT 98 m²LB 45 m²KM 1KT 2
Perumahan Bumi Rinjani,Rp 1.010.000.000,Cicilan 9.7 Juta/bulan,"Mustikajaya, Kota bekasi",LT 98 m²LB 80 m²KM 2KT 3
Perumahan Bumi Rinjani,Rp 1.020.000.000,Cicilan 9.8 Juta/bulan,"Mustikajaya, Kota bekasi",LT 93 m²LB 160 m²KM 2KT 3
Permata Cimanggis Cluster Mutiara,Rp 1.030.000.000,Cicilan 9.9 Juta/bulan,"Tapos, Kota depok",LT 85 m²LB 50 m²KM 1KT 2
Serpong Garden 1 Cluster Green River,Rp 1.030.000.000,Cicilan 9.9 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 84 m²LB 45 m²KM 1KT 2
Aurora Green Residence Bekasi,Rp 1.030.000.000,Cicilan 9.9 Juta/bulan,"Jatiasih, Kota bekasi",LT 60 m²LB 90 m²KM 2KT 2
Permata Cimanggis Cluster Intan,Rp 1.030.000.000,Cicilan 9.9 Juta/bulan,"Tapos, Kota depok",LT 84 m²LB 56 m²KM 1KT 2
Vida Bekasi Cluster Botanica,Rp 1.030.000.000,Cicilan 9.9 Juta/bulan,"Mustikajaya, Kota bekasi",LT 60 m²LB 47 m²KM 1KT 3
Duta Bintaro cluster Kintamani,Rp 1.040.000.000,Cicilan 10 Juta/bulan,"Pinang, Kota tangerang",LT 103 m²LB 90 m²KM 1KT 3
Serpong Garden 2 Cluster Greenland,Rp 1.040.000.000,Cicilan 10 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 84 m²LB 45 m²KM 1KT 2
Rancamaya Golf Estate Cluster Waterfall,Rp 1.040.000.000,Cicilan 10 Juta/bulan,"Bogor selatan, Kota bogor",LT 84 m²LB 48 m²KM 1KT 2
Perumahan Gardenia Residence,Rp 1.040.000.000,Cicilan 10 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 91 m²LB 91 m²KM 1KT 2
Perumahan Tamansari Puribali,Rp 1.060.000.000,Cicilan 10.2 Juta/bulan,"Bojongsari, Kota depok",LT 100 m²LB 90 m²KM 1KT 2
Graha Harapan,Rp 1.060.000.000,Cicilan 10.2 Juta/bulan,"Mustikajaya, Kota bekasi",LT 96 m²LB 96 m²KM 2KT 2
